Date,Adj Close,Close,High,Low,Open,Volume
2021-02-05,14056.7197265625,14056.7197265625,14114.4404296875,14013.1298828125,14061.6904296875,76254800
2021-02-08,14059.91015625,14059.91015625,14169.490234375,14056.5498046875,14156.83984375,61532900
2021-02-09,14011.7998046875,14011.7998046875,14061.6103515625,13962.1396484375,14055.599609375,58414500
2021-02-10,13932.9697265625,13932.9697265625,14063.1201171875,13830.1201171875,14063.1201171875,67411900
2021-02-11,14040.91015625,14040.91015625,14053.0595703125,13916.6298828125,13958.3896484375,53851500
2021-02-12,14049.8896484375,14049.8896484375,14050.9599609375,13916.73046875,13976.1298828125,57699700
2021-02-15,14109.48046875,14109.48046875,14131.2099609375,14074.25,14109.0703125,49898700
2021-02-16,14064.599609375,14064.599609375,14130.740234375,14049.98046875,14105.1298828125,58655000
2021-02-17,13909.26953125,13909.26953125,14036.9501953125,13894.0595703125,14028.099609375,81266800
2021-02-18,13886.9296875,13886.9296875,13961.0498046875,13853.76953125,13926.83984375,67920700
2021-02-19,13993.23046875,13993.23046875,14026.1796875,13892.7197265625,13941.400390625,72974000
2021-02-22,13950.0400390625,13950.0400390625,13975.080078125,13802.5498046875,13858.5595703125,66035300
2021-02-23,13864.8095703125,13864.8095703125,13989.240234375,13664.7099609375,13984.98046875,88194700
2021-02-24,13976.0,13976.0,13998.2998046875,13855.849609375,13855.849609375,68922400
2021-02-25,13879.330078125,13879.330078125,14051.009765625,13879.169921875,14045.01953125,95431900
2021-02-26,13786.2900390625,13786.2900390625,13881.259765625,13673.0703125,13685.7998046875,104069400
2021-03-01,14012.8203125,14012.8203125,14022.01953125,13873.830078125,13962.4296875,69566200
2021-03-02,14039.7998046875,14039.7998046875,14101.7900390625,13961.6201171875,13962.0703125,63307700
2021-03-03,14080.0302734375,14080.0302734375,14197.490234375,13979.73046875,14130.8603515625,84766900
2021-03-04,14056.33984375,14056.33984375,14095.8095703125,13959.26953125,14015.4404296875,84620900
2021-03-05,13920.6904296875,13920.6904296875,14068.0302734375,13868.2001953125,13958.5400390625,89791900
2021-03-08,14380.91015625,14380.91015625,14402.919921875,13977.1298828125,14024.5703125,109071900
2021-03-09,14437.9404296875,14437.9404296875,14475.650390625,14309.349609375,14345.509765625,107881800
2021-03-10,14540.25,14540.25,14560.9697265625,14408.51953125,14439.4501953125,95715700
2021-03-11,14569.3896484375,14569.3896484375,14595.01953125,14515.0703125,14553.5400390625,74066400
2021-03-12,14502.3896484375,14502.3896484375,14527.419921875,14450.7197265625,14492.4501953125,69100900
2021-03-15,14461.419921875,14461.419921875,14572.240234375,14409.349609375,14504.490234375,62766600
2021-03-16,14557.580078125,14557.580078125,14601.7900390625,14511.2998046875,14519.7197265625,714300
2021-03-17,14596.6103515625,14596.6103515625,14601.6298828125,14539.7001953125,14565.2900390625,759600
2021-03-18,14775.51953125,14775.51953125,14804.009765625,14669.9501953125,14673.7197265625,104691200
2021-03-19,14621.0,14621.0,14747.5595703125,14563.2099609375,14697.259765625,207441200
2021-03-22,14657.2099609375,14657.2099609375,14677.1201171875,14539.26953125,14551.169921875,66130200
2021-03-23,14662.01953125,14662.01953125,14707.3701171875,14516.2197265625,14582.0703125,73296400
2021-03-24,14610.3896484375,14610.3896484375,14619.0400390625,14523.1201171875,14543.580078125,65084000
2021-03-25,14621.3603515625,14621.3603515625,14621.3603515625,14422.650390625,14550.400390625,80104500
2021-03-26,14748.9404296875,14748.9404296875,14776.3203125,14693.9404296875,14714.58984375,67169800
2021-03-29,14817.7197265625,14817.7197265625,14845.419921875,14756.0400390625,14809.7998046875,71106000
2021-03-30,15008.6103515625,15008.6103515625,15029.7001953125,14890.2802734375,14897.66015625,71173400
2021-03-31,15008.33984375,15008.33984375,15026.490234375,14973.58984375,14982.1201171875,76061700
2021-04-01,15107.169921875,15107.169921875,15110.919921875,15032.51953125,15053.76953125,67886600
2021-04-06,15212.6796875,15212.6796875,15311.8603515625,15209.900390625,15289.9697265625,79478900
2021-04-07,15176.3603515625,15176.3603515625,15242.73046875,15160.2802734375,15221.23046875,59116700
2021-04-08,15202.6796875,15202.6796875,15247.7802734375,15144.1103515625,15236.4404296875,68862100
2021-04-09,15234.16015625,15234.16015625,15243.5595703125,15157.2099609375,15198.1396484375,56870100
2021-04-12,15215.0,15215.0,15275.330078125,15212.240234375,15238.849609375,53646400
2021-04-13,15234.3603515625,15234.3603515625,15281.650390625,15184.9501953125,15244.6201171875,62443500
2021-04-14,15209.150390625,15209.150390625,15255.919921875,15191.509765625,15253.58984375,66666600
2021-04-15,15255.330078125,15255.330078125,15271.6904296875,15227.6298828125,15238.6298828125,61834300
2021-04-16,15459.75,15459.75,15473.830078125,15274.2197265625,15277.849609375,82758000
2021-04-19,15368.3896484375,15368.3896484375,15501.83984375,15368.1396484375,15496.8701171875,61839400
2021-04-20,15129.509765625,15129.509765625,15393.1298828125,15109.5400390625,15361.150390625,76224500
2021-04-21,15195.9697265625,15195.9697265625,15210.6904296875,15071.7802734375,15179.91015625,67077500
2021-04-22,15320.51953125,15320.51953125,15328.330078125,15230.2001953125,15252.0400390625,59628300
2021-04-23,15279.6201171875,15279.6201171875,15309.08984375,15149.349609375,15267.759765625,57798000
2021-04-26,15296.33984375,15296.33984375,15325.8896484375,15237.01953125,15297.9296875,49117600
2021-04-27,15249.26953125,15249.26953125,15293.8896484375,15186.759765625,15282.83984375,54513000
